school-wls	name	enw	school-type-wls	principal-local-authority	address	cyfeiriad	start-date	end-date
6634601	Blessed Edward Jones High School	Blessed Edward Jones High School	7	DEN				
6635901	St Brigid's School	St Brigid's School	9	DEN				
6637000	Ysgol Tir Morfa	Ysgol Tir Morfa	4	DEN				
6637010	Ysgol Plas Brondyffryn	Ysgol Plas Brondyffryn	4	DEN				
6642002	Ysgol Glan Aber	Ysgol Glan Aber	1	FLN				
6642003	Ysgol Merllyn	Ysgol Merllyn	1	FLN				
6642004	Westwood Cp	Westwood Cp	1	FLN				
6642012	Ewloe Green	Ewloe Green	1	FLN				
6642013	Bryn Garth Cp	Bryn Garth Cp	1	FLN				
6642015	Ysgol Gwynedd Cp	Ysgol Gwynedd Cp	1	FLN				
6642018	Ysgol Maesglas	Ysgol Maesglas	1	FLN				
6642021	Ysgol Gymraeg Mornant	Ysgol Gymraeg Mornant	1	FLN				
6642024	Ysgol Estyn Community School	Ysgol Estyn Community School	1	FLN				
6642026	Lixwm Cp School	Lixwm Cp School	1	FLN				
6642028	Ysgol Glanrafon	Ysgol Glanrafon	1	FLN				
6642032	Northop Hall	Northop Hall	1	FLN				
6642040	Wood Memorial Primary School	Wood Memorial Primary School	1	FLN				
6642041	Sealand Cp School	Sealand Cp School	1	FLN				
6642043	Sychdyn Cp	Sychdyn Cp	1	FLN				
6642044	Trelogan Primary	Trelogan Primary	1	FLN				
6642046	Bryn Pennant Cp	Bryn Pennant Cp	1	FLN				
6642049	Ysgol Bro Carmel	Ysgol Bro Carmel	1	FLN				
6642050	Rhos Helyg School	Rhos Helyg School	1	FLN				
6642051	Ysgol Terrig	Ysgol Terrig	1	FLN				
6642052	Ysgol Bryn Deva	Ysgol Bryn Deva	1	FLN				
6642053	Sandycroft Cp	Sandycroft Cp	1	FLN				
6642056	Gwernymynydd Cp School	Gwernymynydd Cp School	1	FLN				
6642061	Queensferry Community Primary School	Queensferry Community Primary School	1	FLN				
6642062	Ysgol Bryn Coch	Ysgol Bryn Coch	1	FLN				
6642063	Mountain Lane Primary School	Mountain Lane Primary School	1	FLN				
6642064	Ysgol Y Foel, Cilcain	Ysgol Y Foel, Cilcain	1	FLN				
6642065	Brynford Cp	Brynford Cp	1	FLN				
6642068	Ysgol Bryn Gwalia	Ysgol Bryn Gwalia	1	FLN				
6642077	Golftyn Cp School	Golftyn Cp School	1	FLN				
6642078	Saltney Ferry Cp	Saltney Ferry Cp	1	FLN				
6642081	Y Waun	Y Waun	1	FLN				
6642082	Ysgol Gwenffrwd	Ysgol Gwenffrwd	1	FLN				
6642084	Abermorddu Cp School	Abermorddu Cp School	1	FLN				
6642085	Southdown Cp	Southdown Cp	1	FLN				
6642086	Wepre Community School	Wepre Community School	1	FLN				
6642089	Drury Primary School	Drury Primary School	1	FLN				
6642091	Cornist Park Cp	Cornist Park Cp	1	FLN				
6642092	Ysgol Derwenfa Cp	Ysgol Derwenfa Cp	1	FLN				
6642093	Penarlag Cp	Penarlag Cp	1	FLN				
6642094	Owen Jones Cp	Owen Jones Cp	1	FLN				
6642237	Gronant Primary School	Gronant Primary School	1	FLN				
6642257	Ysgol Gymraeg Croes Atti	Ysgol Gymraeg Croes Atti	1	FLN				
6642266	Ysgol Parc Y Llan	Ysgol Parc Y Llan	1	FLN				
6642267	Ysgol Mynydd Isa	Ysgol Mynydd Isa	1	FLN				
6642268	Broughton Primary School	Broughton Primary School	1	FLN				
6642269	Ysgol Cae'r Nant	Ysgol Cae'r Nant	1	FLN				
6642270	Ysgol Penyffordd	Ysgol Penyffordd	1	FLN				
6642271	Ysgol Ty Ffynnon	Ysgol Ty Ffynnon	1	FLN				
6642272	Ysgol Maes-Y-Felin	Ysgol Maes-Y-Felin	1	FLN				
6643002	Nannerch V.C.P. School	Nannerch V.C.P. School	1	FLN				
6643303	Ysgol Yr Esgob C In W	Ysgol Yr Esgob C In W	1	FLN				
6643306	St Mary's	St Mary's	2	FLN				
6643307	St Winefrides	St Winefrides	1	FLN				
6643308	St David's Catholic Primary School	St David's Catholic Primary School	1	FLN				
6643311	St Anthony's Catholic Primary	St Anthony's Catholic Primary	1	FLN				
6643312	Venerable Edward Morgan Rc	Venerable Edward Morgan Rc	1	FLN				
6643316	Trelawnyd	Trelawnyd	1	FLN				
6643320	Ysgol Y Llan Va Primary School Whitford	Ysgol Y Llan Va Primary School Whitford	1	FLN				
6643330	St. Ethelwolds	St. Ethelwolds	1	FLN				
6643331	St John The Baptist Va School	St John The Baptist Va School	1	FLN				
6643332	Nercwys Va	Nercwys Va	1	FLN				
6643333	Hawarden Village Va	Hawarden Village Va	1	FLN				
6644000	Hawarden High School	Hawarden High School	3	FLN				
6644006	Alun School	Alun School	3	FLN				
6644011	Elfed High School	Elfed High School	7	FLN				
6644012	Ysgol Treffynnon	Ysgol Treffynnon	7	FLN				
6644013	St. David's High School	St. David's High School	7	FLN				
6644017	Castell Alun High School	Castell Alun High School	3	FLN				
6644018	Maes Garmon	Maes Garmon	3	FLN				
6644021	Flint High School	Flint High School	3	FLN				
6644022	Connah's Quay High School,	Connah's Quay High School,	7	FLN				
6644042	Argoed High School	Argoed High School	7	FLN				
6644600	St. Richard Gwyn Catholic High School	St. Richard Gwyn Catholic High School	3	FLN				
6645200	Derwen Foundation School	Derwen Foundation School	1	FLN				
6647020	Pen Coch	Pen Coch	10	FLN				
6647021	Ysgol Maes Hyfryd	Ysgol Maes Hyfryd	4	FLN				
6651007	Wrexham Early Years Centre	Wrexham Early Years Centre	11	WRX				
6652076	The Rofft Cp School	The Rofft Cp School	1	WRX				
6652137	Froncysyllte	Froncysyllte	1	WRX				
6652138	Garth Cp	Garth Cp	1	WRX				
6652139	Ysgol Cynddelw	Ysgol Cynddelw	1	WRX				
6652140	Llanarmon Dc School	Llanarmon Dc School	1	WRX				
6652143	Pontfadog	Pontfadog	1	WRX				
6652149	Ysgol Acrefair	Ysgol Acrefair	1	WRX				
6652151	Cefn Mawr C P School	Cefn Mawr C P School	1	WRX				
6652160	Ysgol Maes-Y-Llan	Ysgol Maes-Y-Llan	1	WRX				
6652162	Ysgol Min y Ddol	Ysgol Min y Ddol	1	WRX				
6652173	Alexandra C P School	Alexandra C P School	1	WRX				
6652176	Brynteg C P School	Brynteg C P School	1	WRX				
6652178	Bwlchgwyn School	Bwlchgwyn School	1	WRX				
6652179	Ysgol Tan-y-Fron	Ysgol Tan-y-Fron	1	WRX				
6652187	Black Lane C P School	Black Lane C P School	1	WRX				
6652191	Rhosddu County Primary	Rhosddu County Primary	1	WRX				
6652200	Rhostyllen Cp School	Rhostyllen Cp School	1	WRX				
6652204	Ysgol Deiniol C P	Ysgol Deiniol C P	1	WRX				
6652208	Barker's Lane Cp	Barker's Lane Cp	1	WRX				
6652209	Wat's Dyke County Primary	Wat's Dyke County Primary	1	WRX				
